# Copyright (C) 2019  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 19.1.0 Build 670 09/22/2019 SJ Lite Edition
# File: C:\Users\overk\OneDrive - Trine University\AntMan\AntMan.csv
# Generated on: Thu Mar 04 14:51:55 2021

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
VGA_B[0],Unknown,PIN_B13,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[7],Unknown,PIN_E11,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[6],Unknown,PIN_F11,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[5],Unknown,PIN_G12,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[4],Unknown,PIN_G11,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[3],Unknown,PIN_G10,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[2],Unknown,PIN_H12,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[1],Unknown,PIN_J10,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_G[0],Unknown,PIN_J9,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[7],Unknown,PIN_F13,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[6],Unknown,PIN_E12,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[5],Unknown,PIN_D12,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[4],Unknown,PIN_C12,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[3],Unknown,PIN_B12,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[2],Unknown,PIN_E13,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[1],Unknown,PIN_C13,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
VGA_R[0],Unknown,PIN_A13,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[9],Unknown,PIN_AE12,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[8],Unknown,PIN_AD10,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[7],Unknown,PIN_AC9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[6],Unknown,PIN_AE11,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[5],Unknown,PIN_AD12,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[4],Unknown,PIN_AD11,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[3],Unknown,PIN_AF10,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[2],Unknown,PIN_AF9,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[1],Unknown,PIN_AC12,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
SW[0],Unknown,PIN_AB12,3A,B3A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[9],Unknown,PIN_Y21,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[8],Unknown,PIN_W21,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[7],Unknown,PIN_W20,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[6],Unknown,PIN_Y19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[5],Unknown,PIN_W19,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[4],Unknown,PIN_W17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[3],Unknown,PIN_V18,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[2],Unknown,PIN_V17,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[1],Unknown,PIN_W16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
LEDR[0],Unknown,PIN_V16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[3],Unknown,PIN_Y16,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[2],Unknown,PIN_W15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[1],Unknown,PIN_AA15,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
KEY[0],Unknown,PIN_AA14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[6],Unknown,PIN_AA25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[5],Unknown,PIN_AA26,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[4],Unknown,PIN_AB26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[3],Unknown,PIN_AB27,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[2],Unknown,PIN_Y27,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[1],Unknown,PIN_AA28,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX5[0],Unknown,PIN_V25,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[6],Unknown,PIN_W25,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[5],Unknown,PIN_V23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[4],Unknown,PIN_W24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[3],Unknown,PIN_W22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[2],Unknown,PIN_Y24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[1],Unknown,PIN_Y23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX4[0],Unknown,PIN_AA24,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[6],Unknown,PIN_AB22,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[5],Unknown,PIN_AB25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[4],Unknown,PIN_AB28,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[3],Unknown,PIN_AC25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[2],Unknown,PIN_AD25,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[1],Unknown,PIN_AC27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX3[0],Unknown,PIN_AD26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[6],Unknown,PIN_AC30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[5],Unknown,PIN_AC29,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[4],Unknown,PIN_AD30,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[3],Unknown,PIN_AC28,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[2],Unknown,PIN_AD29,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[1],Unknown,PIN_AE29,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX2[0],Unknown,PIN_AB23,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[6],Unknown,PIN_AD27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[5],Unknown,PIN_AF30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[4],Unknown,PIN_AF29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[3],Unknown,PIN_AG30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[2],Unknown,PIN_AH30,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[1],Unknown,PIN_AH29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX1[0],Unknown,PIN_AJ29,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[6],Unknown,PIN_AH28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[5],Unknown,PIN_AG28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[4],Unknown,PIN_AF28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[3],Unknown,PIN_AG27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[2],Unknown,PIN_AE28,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[1],Unknown,PIN_AE27,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
HEX0[0],Unknown,PIN_AE26,5A,B5A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK_50,Unknown,PIN_AF14,3B,B3B_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK4_50,Unknown,PIN_K14,8A,B8A_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK3_50,Unknown,PIN_Y26,5B,B5B_N0,3.3-V LVTTL,,,,,,,,,,,,,
CLOCK2_50,Unknown,PIN_AA16,4A,B4A_N0,3.3-V LVTTL,,,,,,,,,,,,,
